repo,file_path,file_type,job_name,step_name,task_category,normalized_tool,raw_match
urllib3,.github/workflows/lint.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/lint.yml,github_actions,lint,Install uv,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/lint.yml,github_actions,,,configuration_provisioning,nox,nox
urllib3,.github/workflows/lint.yml,github_actions,lint,Lint code,configuration_provisioning,nox,nox
urllib3,.github/workflows/lint.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/lint.yml
urllib3,.github/workflows/lint.yml,github_actions,,,testing_tool,nox,nox
urllib3,.github/workflows/lint.yml,github_actions,lint,Lint code,testing_tool,nox,nox
urllib3,.github/workflows/publish.yml,github_actions,,,build_tool,build,python -m build
urllib3,.github/workflows/publish.yml,github_actions,build,Build dists,build_tool,build,python -m build
urllib3,.github/workflows/publish.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/publish.yml,github_actions,build,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/publish.yml,github_actions,,,configuration_provisioning,pip,pip
urllib3,.github/workflows/publish.yml,github_actions,build,Install dependencies,configuration_provisioning,pip,pip
urllib3,.github/workflows/publish.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/publish.yml
urllib3,.github/workflows/publish.yml,github_actions,,,delivery_deployment,pypa/gh-action-pypi-publish,pypa/gh-action-pypi-publish@cef221092ed1bacb1cc03d23a2d87d1d172e277b
urllib3,.github/workflows/publish.yml,github_actions,publish-to-pypi-and-github,Publish dists to PyPI,delivery_deployment,pypa/gh-action-pypi-publish,pypa/gh-action-pypi-publish@cef221092ed1bacb1cc03d23a2d87d1d172e277b
urllib3,.github/workflows/publish.yml,github_actions,publish-to-test-pypi,Publish dists to Test PyPI,delivery_deployment,pypa/gh-action-pypi-publish,pypa/gh-action-pypi-publish@cef221092ed1bacb1cc03d23a2d87d1d172e277b
urllib3,.github/workflows/publish.yml,github_actions,,,version_control_system,release-tags,tags:
urllib3,.github/workflows/scorecards.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/scorecards.yml
urllib3,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,black,black
urllib3,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,flake8,flake8
urllib3,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,isort,isort
urllib3,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,pre-commit,pre-commit
